#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2471 1.2790E-03 1.2790E-03  -1.12   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.620 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 156  0.849790  3.7955  3.9412  0.5612  4.5360  3.6145  3.3227  3.2520  3.2605
 157  0.850335  3.7935  3.9261  0.5686  4.5275  3.6013  3.3034  3.2298  3.2360
 158  0.850866  3.7911  3.9096  0.5758  4.5209  3.5893  3.2844  3.2073  3.2107
 159  0.851387  3.7884  3.8922  0.5830  4.5148  3.5785  3.2659  3.1849  3.1852
 160  0.851901  3.7857  3.8741  0.5901  4.5097  3.5686  3.2481  3.1627  3.1596
 161  0.852407  3.7825  3.8551  0.5971  4.5082  3.5596  3.2299  3.1399  3.1331
 162  0.852857  3.7797  3.8378  0.6033  4.5121  3.5520  3.2125  3.1183  3.1086
 163  0.853306  3.7767  3.8199  0.6092  4.5199  3.5460  3.1952  3.0963  3.0833
 164  0.853756  3.7733  3.8012  0.6150  4.5289  3.5415  3.1790  3.0752  3.0586
 165  0.854206  3.7698  3.7817  0.6205  4.5396  3.5388  3.1643  3.0550  3.0343
 166  0.854652  3.7659  3.7612  0.6258  4.5547  3.5379  3.1500  3.0348  3.0096
 167  0.855093  3.7618  3.7389  0.6313  4.5753  3.5387  3.1357  3.0139  2.9838
 168  0.855523  3.7574  3.7159  0.6372  4.5976  3.5387  3.1202  2.9918  2.9567
 169  0.855938  3.7535  3.6933  0.6445  4.6167  3.5351  3.1023  2.9677  2.9281
 170  0.856326  3.7501  3.6714  0.6530  4.6304  3.5270  3.0814  2.9415  2.8978
 171  0.856684  3.7471  3.6501  0.6626  4.6377  3.5146  3.0581  2.9135  2.8663
 172  0.857010  3.7446  3.6296  0.6731  4.6393  3.4987  3.0328  2.8842  2.8341
 173  0.857310  3.7425  3.6101  0.6841  4.6355  3.4797  3.0059  2.8539  2.8012
 174  0.857587  3.7406  3.5914  0.6957  4.6273  3.4584  2.9779  2.8230  2.7680
 175  0.857846  3.7390  3.5734  0.7075  4.6159  3.4355  2.9490  2.7917  2.7349
 176  0.858090  3.7377  3.5560  0.7195  4.6014  3.4111  2.9196  2.7602  2.7016
 177  0.858322  3.7366  3.5393  0.7318  4.5844  3.3854  2.8898  2.7285  2.6685
 178  0.858546  3.7355  3.5229  0.7442  4.5660  3.3593  2.8596  2.6968  2.6354
 179  0.858761  3.7346  3.5070  0.7565  4.5459  3.3323  2.8293  2.6649  2.6025
 180  0.858972  3.7337  3.4912  0.7690  4.5252  3.3051  2.7989  2.6331  2.5696
 181  0.859177  3.7330  3.4757  0.7814  4.5034  3.2774  2.7684  2.6014  2.5367
 182  0.859411  3.7321  3.4582  0.7958  4.4776  3.2453  2.7330  2.5646  2.4989
 183  0.859644  3.7313  3.4404  0.8105  4.4504  3.2122  2.6969  2.5273  2.4607
 184  0.859876  3.7306  3.4228  0.8254  4.4222  3.1784  2.6604  2.4896  2.4220
 185  0.860107  3.7299  3.4052  0.8405  4.3929  3.1438  2.6234  2.4514  2.3830
 186  0.860338  3.7293  3.3875  0.8556  4.3631  3.1090  2.5861  2.4131  2.3438
 187  0.860568  3.7287  3.3700  0.8709  4.3323  3.0735  2.5484  2.3743  2.3043
 188  0.860798  3.7281  3.3522  0.8864  4.3009  3.0376  2.5104  2.3353  2.2645
 189  0.861027  3.7276  3.3346  0.9020  4.2690  3.0014  2.4721  2.2960  2.2246
 190  0.861256  3.7270  3.3168  0.9177  4.2364  2.9646  2.4333  2.2563  2.1842
 191  0.861484  3.7265  3.2989  0.9337  4.2030  2.9272  2.3940  2.2162  2.1433
 192  0.861710  3.7260  3.2808  0.9498  4.1693  2.8894  2.3545  2.1758  2.1023
 193  0.861937  3.7255  3.2627  0.9661  4.1350  2.8511  2.3144  2.1349  2.0607
 194  0.862162  3.7250  3.2444  0.9825  4.1000  2.8122  2.2739  2.0937  2.0188
 195  0.862385  3.7245  3.2256  0.9994  4.0640  2.7723  2.2323  2.0513  1.9757
 196  0.862602  3.7240  3.2061  1.0169  4.0265  2.7308  2.1892  2.0073  1.9311
 197  0.862815  3.7235  3.1859  1.0353  3.9870  2.6874  2.1441  1.9615  1.8847
 198  0.863021  3.7229  3.1648  1.0544  3.9463  2.6423  2.0973  1.9138  1.8363
 199  0.863224  3.7224  3.1431  1.0739  3.9044  2.5959  2.0491  1.8648  1.7865
 200  0.863421  3.7218  3.1208  1.0941  3.8611  2.5482  1.9995  1.8142  1.7352
 201  0.863611  3.7212  3.0977  1.1149  3.8168  2.4989  1.9484  1.7623  1.6824
 202  0.863796  3.7206  3.0740  1.1363  3.7712  2.4484  1.8960  1.7088  1.6282
 203  0.863975  3.7199  3.0497  1.1582  3.7249  2.3968  1.8423  1.6542  1.5727
 204  0.864149  3.7193  3.0250  1.1804  3.6777  2.3440  1.7876  1.5983  1.5160
 205  0.864319  3.7187  2.9997  1.2031  3.6306  2.2907  1.7317  1.5415  1.4583
 206  0.864483  3.7179  2.9736  1.2263  3.5841  2.2367  1.6749  1.4835  1.3992
 207  0.864642  3.7172  2.9470  1.2497  3.5375  2.1822  1.6173  1.4245  1.3392
 208  0.864797  3.7164  2.9201  1.2735  3.4903  2.1269  1.5588  1.3646  1.2782
 209  0.864947  3.7155  2.8926  1.2978  3.4426  2.0711  1.4995  1.3039  1.2164
 210  0.865091  3.7146  2.8648  1.3222  3.3946  2.0145  1.4395  1.2423  1.1537
 211  0.865229  3.7137  2.8365  1.3470  3.3460  1.9575  1.3789  1.1801  1.0902
 212  0.865363  3.7128  2.8078  1.3721  3.2968  1.8999  1.3175  1.1172  1.0260
 213  0.865493  3.7119  2.7787  1.3975  3.2472  1.8419  1.2557  1.0535  0.9611
 214  0.865617  3.7108  2.7489  1.4231  3.1968  1.7840  1.1937  0.9896  0.8955
 215  0.865736  3.7098  2.7192  1.4489  3.1436  1.7250  1.1310  0.9251  0.8295
 216  0.865850  3.7088  2.6889  1.4750  3.0907  1.6661  1.0681  0.8602  0.7629
 217  0.865871  3.7086  2.6834  1.4796  3.0813  1.6555  1.0569  0.8486  0.7511
 218  0.865890  3.7084  2.6781  1.4843  3.0719  1.6450  1.0457  0.8371  0.7392
 219  0.865909  3.7082  2.6726  1.4890  3.0623  1.6344  1.0343  0.8254  0.7272
 220  0.865929  3.7080  2.6671  1.4937  3.0528  1.6238  1.0229  0.8137  0.7151
 221  0.865949  3.7079  2.6617  1.4984  3.0431  1.6131  1.0116  0.8019  0.7030
 222  0.865968  3.7077  2.6562  1.5032  3.0335  1.6023  1.0001  0.7901  0.6910
 223  0.865987  3.7075  2.6507  1.5080  3.0238  1.5914  0.9885  0.7781  0.6787
 224  0.866006  3.7073  2.6451  1.5128  3.0142  1.5807  0.9769  0.7661  0.6665
 225  0.866025  3.7070  2.6395  1.5176  3.0044  1.5698  0.9653  0.7542  0.6542
 226  0.866044  3.7068  2.6340  1.5224  2.9946  1.5589  0.9537  0.7422  0.6418
 227  0.866218  3.7049  2.5799  1.5689  2.9026  1.4545  0.8418  0.6266  0.5233
 228  0.866377  3.7030  2.5255  1.6153  2.8148  1.3508  0.7295  0.5106  0.4042
 229  0.866523  3.7008  2.4703  1.6620  2.7369  1.2479  0.6165  0.3937  0.2842
 230  0.866653  3.6986  2.4146  1.7089  2.6633  1.1454  0.5030  0.2760  0.1635
 231  0.866771  3.6961  2.3563  1.7574  2.5927  1.0411  0.3864  0.1546  0.0387
 232  0.866878  3.6940  2.3048  1.8002  2.5293  0.9488  0.2833  0.0474 -0.0716
 233  0.866977  3.6918  2.2555  1.8412  2.4668  0.8609  0.1856 -0.0544 -0.1765
 234  0.867067  3.6901  2.2122  1.8772  2.4114  0.7835  0.0999 -0.1438 -0.2686
 235  0.867153  3.6889  2.1839  1.9011  2.3713  0.7309  0.0423 -0.2034 -0.3298
 236  0.867237  3.6897  2.1956  1.8927  2.3741  0.7454  0.0607 -0.1833 -0.3085
 237  0.867330  3.6893  2.1772  1.9096  2.3371  0.7054  0.0190 -0.2259 -0.3515
 238  0.867421  3.6863  2.1130  1.9619  2.2647  0.5965 -0.1039 -0.3547 -0.4850
 239  0.867501  3.6837  2.0544  2.0100  2.1984  0.4961 -0.2171 -0.4732 -0.6077
 240  0.867573  3.6812  1.9992  2.0552  2.1389  0.4026 -0.3232 -0.5844 -0.7229
 241  0.867638  3.6789  1.9504  2.0948  2.0934  0.3228 -0.4151 -0.6813 -0.8233
 242  0.867699  3.6769  1.9111  2.1265  2.0616  0.2599 -0.4883 -0.7586 -0.9036
 243  0.867757  3.6743  1.8553  2.1716  2.0109  0.1696 -0.5928 -0.8689 -1.0183
 244  0.867808  3.6716  1.7983  2.2176  1.9622  0.0783 -0.6991 -0.9812 -1.1351
 245  0.867855  3.6689  1.7429  2.2623  1.9182 -0.0093 -0.8018 -1.0900 -1.2484
 246  0.867898  3.6661  1.6877  2.3066  1.8777 -0.0955 -0.9034 -1.1978 -1.3607
 247  0.867936  3.6634  1.6333  2.3504  1.8398 -0.1796 -1.0030 -1.3038 -1.4711
