objid,ra,dec,u,g,u-g,r,i,z,r-i,i-z
1.24E+18,229.7409905,2.010845905,21.04654,20.12458,0.921957,19.58014,19.4441,19.46099,0.13604,-0.01689
1.24E+18,229.7489572,2.010561755,20.96685,20.01829,0.9485645,19.50565,19.40795,19.37397,0.0977,0.03398
1.24E+18,229.7414946,2.000330242,21.33541,20.58363,0.7517815,19.98289,19.87649,19.72478,0.1064,0.15171
1.24E+18,229.7473657,2.011963051,21.1531,20.07201,1.081091,19.57682,19.48392,19.44314,0.0929,0.04078
1.24E+18,229.7407486,1.99780685,20.98946,20.05464,0.9348221,19.5687,19.464,19.40723,0.1047,0.05677
1.24E+18,229.7457971,1.99225711,21.13101,20.1655,0.9655151,19.61337,19.5204,19.655,0.09297,-0.1346
1.24E+18,229.7404028,2.004865766,21.44628,20.45359,0.9926891,19.84599,19.71188,19.549,0.13411,0.16288
1.24E+18,229.745395,2.013652417,21.3235,20.50978,0.8137169,19.95804,19.80321,19.86927,0.15483,-0.06606
1.24E+18,229.7465363,1.994981276,22.2781,20.73369,1.544405,20.07784,19.9481,19.84754,0.12974,0.10056
1.24E+18,229.7459331,1.994752982,22.04847,23.2406,-1.192135,21.14702,22.11454,20.85196,-0.96752,1.26258
1.24E+18,229.7444852,1.995428011,22.18919,20.71139,1.4778,20.10697,19.99716,20.128,0.10981,-0.13084
1.24E+18,229.7430869,1.989204853,22.06145,20.84906,1.212393,20.30178,20.12507,19.94501,0.17671,0.18006
1.24E+18,229.7416926,2.006072543,22.8085,21.31666,1.49184,20.47167,20.22933,20.25726,0.24234,-0.02793
1.24E+18,229.7416692,2.014087753,23.71017,22.063,1.647175,21.01791,20.67364,20.50274,0.34427,0.1709
1.24E+18,229.7406588,2.003967344,22.6873,21.579,1.108299,20.80128,20.60492,20.76689,0.19636,-0.16197
1.24E+18,229.7439137,1.996023647,23.36652,21.54958,1.816935,20.79909,20.62107,20.67214,0.17802,-0.05107
1.24E+18,229.744222,1.991270382,25.03042,21.87128,3.159143,21.05826,20.7146,21.68986,0.34366,-0.97526
1.24E+18,229.7413963,1.993553701,22.82759,22.03765,0.7899418,21.01613,21.01114,20.57215,0.00499,0.43899
1.24E+18,229.7450753,2.008373906,24.20263,21.9986,2.204035,21.16725,21.02111,21.20905,0.14614,-0.18794
1.24E+18,229.7442335,1.989592475,23.40054,22.0437,1.356838,21.28807,21.00144,20.3994,0.28663,0.60204
1.24E+18,229.7426318,2.015763632,24.37979,22.26247,2.117321,21.28226,21.017,20.64522,0.26526,0.37178
1.24E+18,229.7499652,1.99366654,24.59221,22.64167,1.950542,21.92016,21.2504,21.40529,0.66976,-0.15489
1.24E+18,229.7410412,1.995883002,24.14626,22.95539,1.190866,21.72613,21.49838,21.46854,0.22775,0.02984
1.24E+18,229.7419872,1.989238479,24.35855,22.72567,1.632881,21.67903,21.49706,21.72357,0.18197,-0.22651
1.24E+18,229.7413559,1.996238159,23.85913,22.55591,1.303221,21.75066,21.4402,21.06234,0.31046,0.37786
