#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=14.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 142  0.751361  3.8181  4.0830  0.4564  4.6735  3.8688  3.6486  3.6052  3.6314
 143  0.751865  3.8176  4.0731  0.4649  4.6535  3.8480  3.6268  3.5827  3.6083
 144  0.752359  3.8171  4.0628  0.4736  4.6335  3.8273  3.6046  3.5598  3.5849
 145  0.752843  3.8165  4.0521  0.4822  4.6135  3.8065  3.5823  3.5366  3.5611
 146  0.753317  3.8159  4.0411  0.4910  4.5935  3.7857  3.5598  3.5132  3.5369
 147  0.753779  3.8152  4.0296  0.4998  4.5736  3.7650  3.5372  3.4896  3.5123
 148  0.754230  3.8144  4.0177  0.5087  4.5537  3.7442  3.5145  3.4656  3.4875
 149  0.754670  3.8134  4.0054  0.5176  4.5339  3.7236  3.4915  3.4415  3.4622
 150  0.755097  3.8124  3.9926  0.5266  4.5143  3.7031  3.4686  3.4170  3.4366
 151  0.755511  3.8113  3.9792  0.5356  4.4949  3.6827  3.4454  3.3922  3.4105
 152  0.755913  3.8101  3.9653  0.5447  4.4755  3.6625  3.4221  3.3672  3.3840
 153  0.756301  3.8087  3.9509  0.5539  4.4565  3.6424  3.3986  3.3416  3.3569
 154  0.756676  3.8072  3.9359  0.5632  4.4375  3.6226  3.3749  3.3158  3.3293
 155  0.757036  3.8056  3.9204  0.5724  4.4187  3.6029  3.3511  3.2898  3.3012
 156  0.757383  3.8038  3.9043  0.5816  4.4004  3.5837  3.3273  3.2633  3.2728
 157  0.757716  3.8019  3.8877  0.5909  4.3823  3.5647  3.3034  3.2367  3.2439
 158  0.758037  3.7999  3.8704  0.6002  4.3645  3.5461  3.2795  3.2098  3.2146
 159  0.758343  3.7978  3.8528  0.6096  4.3475  3.5277  3.2556  3.1827  3.1849
 160  0.758637  3.7955  3.8345  0.6188  4.3311  3.5098  3.2316  3.1554  3.1549
 161  0.758919  3.7931  3.8157  0.6282  4.3155  3.4923  3.2075  3.1277  3.1243
 162  0.759134  3.7910  3.8001  0.6356  4.3042  3.4792  3.1883  3.1052  3.0993
 163  0.759347  3.7887  3.7833  0.6431  4.2938  3.4666  3.1686  3.0817  3.0731
 164  0.759556  3.7860  3.7653  0.6507  4.2845  3.4544  3.1484  3.0574  3.0456
 165  0.759762  3.7832  3.7463  0.6585  4.2766  3.4428  3.1277  3.0321  3.0169
 166  0.759965  3.7801  3.7262  0.6663  4.2698  3.4315  3.1067  3.0063  2.9873
 167  0.760166  3.7771  3.7062  0.6744  4.2627  3.4196  3.0857  2.9806  2.9581
 168  0.760364  3.7742  3.6863  0.6826  4.2559  3.4071  3.0643  2.9545  2.9286
 169  0.760558  3.7714  3.6669  0.6912  4.2487  3.3940  3.0424  2.9281  2.8988
 170  0.760750  3.7688  3.6477  0.6999  4.2409  3.3801  3.0200  2.9015  2.8689
 171  0.760937  3.7662  3.6284  0.7089  4.2325  3.3654  2.9973  2.8747  2.8390
 172  0.761119  3.7637  3.6094  0.7182  4.2229  3.3497  2.9740  2.8476  2.8089
 173  0.761297  3.7613  3.5905  0.7277  4.2124  3.3330  2.9501  2.8200  2.7785
 174  0.761468  3.7592  3.5720  0.7376  4.2006  3.3149  2.9256  2.7920  2.7480
 175  0.761633  3.7571  3.5537  0.7477  4.1878  3.2959  2.9003  2.7636  2.7171
 176  0.761792  3.7552  3.5358  0.7583  4.1739  3.2757  2.8742  2.7347  2.6860
 177  0.761945  3.7535  3.5183  0.7689  4.1590  3.2547  2.8476  2.7053  2.6544
 178  0.762092  3.7519  3.5012  0.7798  4.1434  3.2329  2.8203  2.6752  2.6223
 179  0.762235  3.7505  3.4844  0.7909  4.1272  3.2105  2.7924  2.6447  2.5901
 180  0.762373  3.7491  3.4679  0.8021  4.1099  3.1873  2.7642  2.6140  2.5577
 181  0.762507  3.7479  3.4518  0.8135  4.0915  3.1634  2.7357  2.5833  2.5255
 182  0.762648  3.7467  3.4349  0.8258  4.0706  3.1371  2.7051  2.5506  2.4912
 183  0.762787  3.7457  3.4181  0.8383  4.0483  3.1098  2.6738  2.5175  2.4567
 184  0.762924  3.7447  3.4014  0.8510  4.0248  3.0817  2.6422  2.4841  2.4221
 185  0.763060  3.7437  3.3849  0.8639  4.0001  3.0526  2.6102  2.4505  2.3873
 186  0.763196  3.7429  3.3685  0.8770  3.9745  3.0230  2.5777  2.4168  2.3525
 187  0.763331  3.7421  3.3522  0.8901  3.9482  2.9930  2.5451  2.3829  2.3176
 188  0.763465  3.7413  3.3361  0.9034  3.9213  2.9625  2.5123  2.3488  2.2826
 189  0.763598  3.7406  3.3199  0.9168  3.8938  2.9315  2.4792  2.3146  2.2476
 190  0.763731  3.7400  3.3039  0.9302  3.8658  2.9002  2.4458  2.2803  2.2125
 191  0.763863  3.7394  3.2881  0.9437  3.8374  2.8686  2.4124  2.2459  2.1774
 192  0.763996  3.7388  3.2722  0.9573  3.8086  2.8368  2.3788  2.2114  2.1422
 193  0.764128  3.7383  3.2565  0.9708  3.7795  2.8047  2.3451  2.1769  2.1069
 194  0.764259  3.7377  3.2408  0.9844  3.7502  2.7725  2.3113  2.1423  2.0717
 195  0.764390  3.7372  3.2252  0.9981  3.7205  2.7400  2.2774  2.1076  2.0364
 196  0.764521  3.7366  3.2095  1.0119  3.6906  2.7073  2.2432  2.0727  2.0009
 197  0.764651  3.7362  3.1939  1.0257  3.6604  2.6744  2.2089  2.0378  1.9654
 198  0.764782  3.7358  3.1783  1.0396  3.6300  2.6414  2.1747  2.0028  1.9299
 199  0.764911  3.7353  3.1627  1.0534  3.5994  2.6081  2.1402  1.9676  1.8942
 200  0.765040  3.7349  3.1471  1.0674  3.5686  2.5748  2.1056  1.9324  1.8585
 201  0.765170  3.7345  3.1316  1.0814  3.5375  2.5413  2.0710  1.8972  1.8228
 202  0.765297  3.7340  3.1157  1.0957  3.5059  2.5070  2.0355  1.8612  1.7862
 203  0.765422  3.7336  3.0996  1.1101  3.4736  2.4722  1.9995  1.8247  1.7491
 204  0.765544  3.7332  3.0832  1.1249  3.4407  2.4367  1.9630  1.7874  1.7114
 205  0.765667  3.7328  3.0669  1.1396  3.4080  2.4012  1.9263  1.7502  1.6737
 206  0.765787  3.7324  3.0505  1.1546  3.3744  2.3650  1.8891  1.7124  1.6355
 207  0.765905  3.7320  3.0336  1.1700  3.3402  2.3282  1.8512  1.6739  1.5964
 208  0.766018  3.7316  3.0162  1.1857  3.3052  2.2904  1.8121  1.6342  1.5562
 209  0.766129  3.7312  2.9986  1.2016  3.2698  2.2520  1.7724  1.5939  1.5154
 210  0.766236  3.7307  2.9804  1.2179  3.2341  2.2130  1.7319  1.5527  1.4736
 211  0.766340  3.7302  2.9619  1.2345  3.1980  2.1735  1.6908  1.5108  1.4309
 212  0.766441  3.7297  2.9431  1.2514  3.1611  2.1333  1.6490  1.4682  1.3878
 213  0.766540  3.7291  2.9239  1.2684  3.1247  2.0930  1.6067  1.4250  1.3439
 214  0.766635  3.7286  2.9047  1.2857  3.0870  2.0517  1.5639  1.3813  1.2995
 215  0.766728  3.7281  2.8853  1.3031  3.0490  2.0101  1.5205  1.3371  1.2546
 216  0.766818  3.7276  2.8654  1.3207  3.0112  1.9683  1.4767  1.2924  1.2092
 217  0.766838  3.7274  2.8607  1.3250  3.0023  1.9583  1.4663  1.2817  1.1984
 218  0.766859  3.7273  2.8560  1.3291  2.9933  1.9483  1.4558  1.2710  1.1875
 219  0.766880  3.7271  2.8512  1.3334  2.9843  1.9383  1.4453  1.2602  1.1766
 220  0.766900  3.7270  2.8464  1.3377  2.9751  1.9282  1.4347  1.2495  1.1656
 221  0.766921  3.7269  2.8417  1.3419  2.9658  1.9180  1.4241  1.2387  1.1547
 222  0.766941  3.7268  2.8369  1.3462  2.9565  1.9078  1.4135  1.2278  1.1436
 223  0.766961  3.7267  2.8321  1.3505  2.9473  1.8975  1.4028  1.2168  1.1325
 224  0.766981  3.7265  2.8273  1.3548  2.9379  1.8873  1.3920  1.2059  1.1214
 225  0.767001  3.7264  2.8224  1.3592  2.9288  1.8771  1.3812  1.1948  1.1101
 226  0.767021  3.7262  2.8173  1.3636  2.9197  1.8669  1.3705  1.1837  1.0988
 227  0.767198  3.7250  2.7725  1.4036  2.8342  1.7720  1.2711  1.0822  0.9957
 228  0.767376  3.7235  2.7224  1.4479  2.7408  1.6676  1.1611  0.9697  0.8812
 229  0.767531  3.7222  2.6751  1.4901  2.6517  1.5680  1.0566  0.8628  0.7726
 230  0.767675  3.7209  2.6266  1.5331  2.5616  1.4669  0.9501  0.7538  0.6618
 231  0.767810  3.7194  2.5769  1.5771  2.4704  1.3636  0.8413  0.6424  0.5483
 232  0.767932  3.7180  2.5282  1.6204  2.3804  1.2620  0.7343  0.5330  0.4371
 233  0.768042  3.7165  2.4797  1.6630  2.2929  1.1622  0.6288  0.4249  0.3272
 234  0.768145  3.7150  2.4307  1.7061  2.2052  1.0618  0.5226  0.3161  0.2163
 235  0.768241  3.7133  2.3801  1.7498  2.1185  0.9607  0.4149  0.2053  0.1033
 236  0.768325  3.7117  2.3316  1.7922  2.0353  0.8632  0.3107  0.0982 -0.0060
 237  0.768404  3.7101  2.2825  1.8347  1.9532  0.7657  0.2059 -0.0097 -0.1162
 238  0.768477  3.7085  2.2331  1.8775  1.8720  0.6683  0.1008 -0.1182 -0.2271
 239  0.768543  3.7068  2.1848  1.9194  1.7935  0.5733 -0.0023 -0.2246 -0.3359
 240  0.768604  3.7052  2.1359  1.9618  1.7152  0.4778 -0.1063 -0.3322 -0.4459
 241  0.768661  3.7036  2.0877  2.0035  1.6385  0.3836 -0.2088 -0.4382 -0.5543
 242  0.768711  3.7020  2.0409  2.0439  1.5642  0.2927 -0.3079 -0.5407 -0.6591
 243  0.768757  3.7003  1.9945  2.0839  1.4916  0.2034 -0.4055 -0.6417 -0.7625
 244  0.768801  3.6988  1.9501  2.1220  1.4230  0.1183 -0.4986 -0.7382 -0.8613
 245  0.768841  3.6974  1.9119  2.1549  1.3642  0.0451 -0.5787 -0.8211 -0.9462
 246  0.768878  3.6963  1.8790  2.1832  1.3130 -0.0179 -0.6478 -0.8926 -1.0195
 247  0.768914  3.6947  1.8360  2.2200  1.2477 -0.0989 -0.7371 -0.9853 -1.1147
 248  0.768947  3.6930  1.7908  2.2584  1.1817 -0.1827 -0.8302 -1.0820 -1.2141
 249  0.768977  3.6916  1.7522  2.2915  1.1267 -0.2543 -0.9100 -1.1651 -1.2993
 250  0.769005  3.6906  1.7241  2.3155  1.0878 -0.3064 -0.9680 -1.2254 -1.3613
 251  0.769032  3.6893  1.6879  2.3465  1.0373 -0.3736 -1.0430 -1.3033 -1.4414
