objid,u,g,r,i,z,u-g,g-r,r-i
1.24E+18,23.56885,21.21756,19.82747,19.33505,19.03521,2.35129,1.39009,0.49242
1.24E+18,25.33129,21.64732,20.96069,20.84422,20.86706,3.68397,0.68663,0.11647
1.24E+18,24.03094,21.64858,21.38837,21.29778,20.86346,2.38236,0.26021,0.09059
1.24E+18,24.43499,23.22436,22.55923,22.04399,22.53824,1.21063,0.66513,0.51524
1.24E+18,21.80778,20.96813,20.5679,20.34647,20.47227,0.83965,0.40023,0.22143
1.24E+18,23.45212,21.52658,20.8921,20.85917,20.62921,1.92554,0.63448,0.03293
1.24E+18,21.18847,20.30361,19.94095,19.85372,19.82406,0.88486,0.36266,0.08723
1.24E+18,24.22654,21.89121,20.88836,20.87892,22.12581,2.33533,1.00285,0.00944
1.24E+18,24.25748,25.14679,23.74542,21.91387,21.71535,-0.88931,1.40137,1.83155
1.24E+18,24.23212,23.45205,22.63661,21.95589,22.68704,0.78007,0.81544,0.68072
1.24E+18,24.96151,23.343,22.56478,22.39586,22.10072,1.61851,0.77822,0.16892
1.24E+18,23.34833,21.24342,20.69475,20.49342,20.33872,2.10491,0.54867,0.20133
1.24E+18,24.86479,23.86886,22.43232,21.96817,22.57538,0.99593,1.43654,0.46415
1.24E+18,21.17734,20.11447,19.81032,19.66784,19.58141,1.06287,0.30415,0.14248
1.24E+18,21.62589,21.00559,20.58443,20.3681,20.28762,0.6203,0.42116,0.21633
1.24E+18,21.65782,20.59481,20.21088,20.14823,19.95875,1.06301,0.38393,0.06265
1.24E+18,21.46869,20.7106,20.31833,20.2055,20.18725,0.75809,0.39227,0.11283
1.24E+18,24.97779,24.80076,23.56987,21.4591,21.89506,0.17703,1.23089,2.11077
1.24E+18,24.95161,22.57684,21.7984,21.68108,21.13683,2.37477,0.77844,0.11732
1.24E+18,24.15805,23.58401,22.14375,22.64421,22.29186,0.57404,1.44026,-0.50046
1.24E+18,21.08576,20.43011,20.09621,19.97288,19.84758,0.65565,0.3339,0.12333
1.24E+18,21.70817,20.81981,20.43668,20.25565,20.05313,0.88836,0.38313,0.18103
1.24E+18,21.62108,20.27345,19.82254,19.71635,19.59369,1.34763,0.45091,0.10619
1.24E+18,23.04848,21.30117,20.87427,20.71244,20.65064,1.74731,0.4269,0.16183
