#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 158  1.034064  3.9038  3.9855  1.0357  3.2504  2.2196  2.2425  2.3485  2.4788
 159  1.034551  3.9009  3.9668  1.0426  3.2340  2.2056  2.2212  2.3223  2.4492
 160  1.035014  3.8976  3.9473  1.0495  3.2175  2.1923  2.1999  2.2957  2.4190
 161  1.035452  3.8941  3.9267  1.0563  3.2013  2.1799  2.1788  2.2689  2.3882
 162  1.035758  3.8914  3.9110  1.0612  3.1897  2.1715  2.1635  2.2490  2.3652
 163  1.036059  3.8884  3.8942  1.0662  3.1779  2.1635  2.1480  2.2285  2.3412
 164  1.036353  3.8852  3.8762  1.0711  3.1659  2.1560  2.1322  2.2073  2.3162
 165  1.036644  3.8816  3.8571  1.0762  3.1538  2.1492  2.1163  2.1855  2.2902
 166  1.036928  3.8777  3.8367  1.0813  3.1415  2.1431  2.1003  2.1630  2.2632
 167  1.037205  3.8736  3.8150  1.0865  3.1292  2.1377  2.0842  2.1399  2.2351
 168  1.037474  3.8691  3.7922  1.0917  3.1173  2.1333  2.0683  2.1166  2.2065
 169  1.037736  3.8643  3.7678  1.0969  3.1055  2.1300  2.0525  2.0927  2.1769
 170  1.037992  3.8593  3.7426  1.1020  3.0940  2.1275  2.0368  2.0686  2.1467
 171  1.038240  3.8539  3.7160  1.1072  3.0828  2.1261  2.0213  2.0441  2.1158
 172  1.038481  3.8483  3.6887  1.1123  3.0719  2.1257  2.0059  2.0196  2.0846
 173  1.038717  3.8425  3.6605  1.1174  3.0616  2.1262  1.9909  1.9950  2.0528
 174  1.038948  3.8365  3.6317  1.1226  3.0525  2.1275  1.9760  1.9703  2.0210
 175  1.039178  3.8306  3.6029  1.1277  3.0442  2.1293  1.9614  1.9458  1.9892
 176  1.039406  3.8246  3.5737  1.1328  3.0370  2.1315  1.9467  1.9214  1.9573
 177  1.039635  3.8186  3.5447  1.1379  3.0314  2.1339  1.9323  1.8972  1.9258
 178  1.039866  3.8126  3.5157  1.1430  3.0275  2.1365  1.9185  1.8739  1.8951
 179  1.040098  3.8065  3.4866  1.1479  3.0256  2.1399  1.9053  1.8511  1.8652
 180  1.040333  3.8004  3.4575  1.1526  3.0256  2.1445  1.8925  1.8286  1.8352
 181  1.040571  3.7942  3.4282  1.1571  3.0300  2.1512  1.8798  1.8056  1.8045
 182  1.040794  3.7885  3.4018  1.1606  3.0366  2.1586  1.8702  1.7868  1.7788
 183  1.041020  3.7828  3.3763  1.1638  3.0476  2.1678  1.8605  1.7675  1.7526
 184  1.041247  3.7774  3.3520  1.1665  3.0606  2.1771  1.8527  1.7509  1.7294
 185  1.041477  3.7722  3.3283  1.1696  3.0739  2.1853  1.8453  1.7354  1.7077
 186  1.041707  3.7675  3.3061  1.1729  3.0872  2.1921  1.8371  1.7195  1.6860
 187  1.041936  3.7631  3.2845  1.1773  3.0975  2.1950  1.8264  1.7019  1.6631
 188  1.042159  3.7594  3.2642  1.1827  3.1035  2.1934  1.8132  1.6826  1.6393
 189  1.042375  3.7562  3.2447  1.1895  3.1055  2.1874  1.7961  1.6602  1.6130
 190  1.042580  3.7536  3.2262  1.1975  3.1022  2.1767  1.7759  1.6353  1.5849
 191  1.042776  3.7514  3.2086  1.2068  3.0939  2.1613  1.7528  1.6086  1.5554
 192  1.042962  3.7495  3.1914  1.2163  3.0841  2.1447  1.7292  1.5815  1.5259
 193  1.043142  3.7480  3.1751  1.2266  3.0693  2.1243  1.7035  1.5532  1.4958
 194  1.043316  3.7466  3.1590  1.2371  3.0540  2.1035  1.6776  1.5250  1.4657
 195  1.043486  3.7455  3.1437  1.2479  3.0354  2.0804  1.6507  1.4961  1.4354
 196  1.043652  3.7443  3.1285  1.2589  3.0164  2.0569  1.6236  1.4672  1.4052
 197  1.043816  3.7434  3.1135  1.2699  2.9965  2.0329  1.5963  1.4382  1.3749
 198  1.043977  3.7425  3.0989  1.2813  2.9748  2.0075  1.5683  1.4089  1.3447
 199  1.044138  3.7417  3.0843  1.2925  2.9534  1.9824  1.5405  1.3797  1.3144
 200  1.044296  3.7410  3.0702  1.3039  2.9307  1.9564  1.5122  1.3503  1.2841
 201  1.044454  3.7403  3.0559  1.3154  2.9081  1.9305  1.4840  1.3209  1.2539
 202  1.044610  3.7396  3.0419  1.3268  2.8849  1.9041  1.4556  1.2915  1.2236
 203  1.044766  3.7390  3.0280  1.3383  2.8613  1.8774  1.4270  1.2620  1.1934
 204  1.044921  3.7384  3.0142  1.3499  2.8377  1.8507  1.3984  1.2325  1.1631
 205  1.045074  3.7378  3.0003  1.3615  2.8137  1.8238  1.3697  1.2029  1.1328
 206  1.045228  3.7372  2.9865  1.3731  2.7898  1.7968  1.3409  1.1733  1.1025
 207  1.045380  3.7367  2.9727  1.3847  2.7657  1.7697  1.3121  1.1435  1.0720
 208  1.045532  3.7361  2.9589  1.3964  2.7416  1.7426  1.2831  1.1137  1.0416
 209  1.045683  3.7356  2.9451  1.4081  2.7174  1.7153  1.2541  1.0839  1.0110
 210  1.045832  3.7351  2.9314  1.4198  2.6930  1.6878  1.2250  1.0540  0.9804
 211  1.045981  3.7346  2.9176  1.4316  2.6685  1.6604  1.1959  1.0240  0.9498
 212  1.046129  3.7341  2.9039  1.4434  2.6438  1.6327  1.1666  0.9939  0.9191
 213  1.046277  3.7336  2.8901  1.4553  2.6192  1.6049  1.1372  0.9637  0.8883
 214  1.046421  3.7331  2.8763  1.4672  2.5942  1.5770  1.1076  0.9333  0.8573
 215  1.046563  3.7326  2.8624  1.4792  2.5691  1.5488  1.0778  0.9027  0.8261
 216  1.046703  3.7321  2.8485  1.4913  2.5438  1.5205  1.0478  0.8719  0.7947
 217  1.046746  3.7320  2.8441  1.4951  2.5359  1.5116  1.0384  0.8622  0.7848
 218  1.046790  3.7318  2.8398  1.4989  2.5279  1.5026  1.0289  0.8524  0.7749
 219  1.046834  3.7317  2.8354  1.5027  2.5199  1.4936  1.0194  0.8427  0.7650
 220  1.046877  3.7316  2.8309  1.5066  2.5119  1.4846  1.0099  0.8330  0.7550
 221  1.046920  3.7314  2.8265  1.5104  2.5038  1.4756  1.0003  0.8231  0.7449
 222  1.046962  3.7313  2.8221  1.5143  2.4958  1.4665  0.9907  0.8133  0.7350
 223  1.047005  3.7311  2.8176  1.5182  2.4877  1.4575  0.9811  0.8034  0.7248
 224  1.047048  3.7310  2.8131  1.5220  2.4796  1.4484  0.9715  0.7935  0.7148
 225  1.047091  3.7309  2.8086  1.5259  2.4714  1.4392  0.9618  0.7836  0.7046
 226  1.047133  3.7307  2.8042  1.5298  2.4633  1.4300  0.9521  0.7736  0.6945
 227  1.047503  3.7294  2.7646  1.5643  2.3909  1.3490  0.8664  0.6858  0.6049
 228  1.047852  3.7281  2.7246  1.5994  2.3178  1.2667  0.7794  0.5965  0.5141
 229  1.048173  3.7268  2.6845  1.6345  2.2445  1.1843  0.6922  0.5070  0.4229
 230  1.048465  3.7256  2.6448  1.6694  2.1721  1.1028  0.6058  0.4185  0.3327
 231  1.048755  3.7243  2.6024  1.7066  2.0950  1.0156  0.5137  0.3239  0.2364
 232  1.049025  3.7229  2.5602  1.7436  2.0184  0.9288  0.4218  0.2297  0.1403
 233  1.049275  3.7216  2.5179  1.7807  1.9426  0.8424  0.3303  0.1358  0.0447
 234  1.049508  3.7202  2.4759  1.8173  1.8680  0.7571  0.2396  0.0428 -0.0501
 235  1.049730  3.7187  2.4328  1.8545  1.7934  0.6708  0.1478 -0.0517 -0.1465
 236  1.049930  3.7172  2.3912  1.8904  1.7220  0.5878  0.0593 -0.1426 -0.2394
 237  1.050120  3.7158  2.3493  1.9265  1.6508  0.5046 -0.0296 -0.2342 -0.3329
 238  1.050295  3.7143  2.3079  1.9621  1.5812  0.4228 -0.1173 -0.3245 -0.4251
 239  1.050461  3.7129  2.2663  1.9980  1.5124  0.3411 -0.2053 -0.4153 -0.5180
 240  1.050620  3.7114  2.2237  2.0346  1.4430  0.2577 -0.2953 -0.5082 -0.6130
 241  1.050766  3.7099  2.1822  2.0702  1.3764  0.1771 -0.3829 -0.5988 -0.7057
 242  1.050902  3.7084  2.1409  2.1057  1.3112  0.0972 -0.4701 -0.6891 -0.7981
 243  1.051026  3.7070  2.1007  2.1402  1.2486  0.0198 -0.5548 -0.7769 -0.8880
 244  1.051147  3.7055  2.0593  2.1759  1.1844 -0.0599 -0.6423 -0.8677 -0.9810
 245  1.051256  3.7041  2.0195  2.2099  1.1238 -0.1358 -0.7258 -0.9542 -1.0696
 246  1.051359  3.7026  1.9799  2.2437  1.0643 -0.2110 -0.8086 -1.0402 -1.1577
 247  1.051456  3.7011  1.9405  2.2772  1.0052 -0.2852 -0.8904 -1.1251 -1.2448
 248  1.051545  3.6997  1.9021  2.3097  0.9487 -0.3567 -0.9696 -1.2074 -1.3292
 249  1.051632  3.6982  1.8639  2.3422  0.8924 -0.4281 -1.0486 -1.2894 -1.4135
 250  1.051710  3.6970  1.8319  2.3693  0.8454 -0.4879 -1.1147 -1.3581 -1.4840
 251  1.051786  3.6963  1.8121  2.3865  0.8141 -0.5260 -1.1564 -1.4012 -1.5283
 252  1.051863  3.6956  1.7928  2.4032  0.7836 -0.5631 -1.1971 -1.4434 -1.5714
 253  1.051936  3.6941  1.7533  2.4366  0.7263 -0.6357 -1.2780 -1.5277 -1.6582
 254  1.052006  3.6926  1.7143  2.4696  0.6710 -0.7068 -1.3577 -1.6108 -1.7437
 255  1.052069  3.6914  1.6811  2.4977  0.6251 -0.7670 -1.4253 -1.6813 -1.8164
 256  1.052132  3.6906  1.6611  2.5147  0.5984 -0.8036 -1.4664 -1.7241 -1.8604
 257  1.052193  3.6905  1.6583  2.5174  0.5957 -0.8096 -1.4729 -1.7307 -1.8671
 258  1.052255  3.6892  1.6216  2.5486  0.5468 -0.8759 -1.5476 -1.8089 -1.9475
 259  1.052313  3.6875  1.5782  2.5853  0.4901 -0.9540 -1.6360 -1.9013 -2.0427
 260  1.052367  3.6858  1.5362  2.6207  0.4390 -1.0283 -1.7208 -1.9902 -2.1343
 261  1.052416  3.6842  1.4955  2.6551  0.3908 -1.1002 -1.8032 -2.0766 -2.2234
 262  1.052462  3.6827  1.4557  2.6885  0.3459 -1.1693 -1.8831 -2.1605 -2.3099
 263  1.052504  3.6810  1.4162  2.7215  0.3047 -1.2365 -1.9619 -2.2436 -2.3958
 264  1.052543  3.6794  1.3778  2.7535  0.2667 -1.3009 -2.0380 -2.3242 -2.4791
 265  1.052581  3.6779  1.3398  2.7852  0.2306 -1.3639 -2.1132 -2.4040 -2.5616
 266  1.052615  3.6763  1.3027  2.8161  0.1967 -1.4248 -2.1863 -2.4817 -2.6421
 267  1.052647  3.6748  1.2666  2.8462  0.1648 -1.4834 -2.2572 -2.5572 -2.7203
 268  1.052676  3.6733  1.2312  2.8756  0.1351 -1.5402 -2.3261 -2.6307 -2.7967
 269  1.052704  3.6718  1.1962  2.9047  0.1066 -1.5962 -2.3944 -2.7036 -2.8724
 270  1.052730  3.6704  1.1621  2.9330  0.0801 -1.6501 -2.4604 -2.7743 -2.9458
 271  1.052755  3.6689  1.1284  2.9610  0.0548 -1.7031 -2.5254 -2.8438 -3.0182
 272  1.052778  3.6675  1.0955  2.9883  0.0313 -1.7542 -2.5886 -2.9116 -3.0886
 273  1.052799  3.6662  1.0634  3.0149  0.0094 -1.8036 -2.6501 -2.9776 -3.1573
 274  1.052820  3.6648  1.0316  3.0411 -0.0104 -1.8516 -2.7102 -3.0424 -3.2249
 275  1.052838  3.6634  1.0004  3.0668 -0.0286 -1.8981 -2.7689 -3.1057 -3.2911
 276  1.052856  3.6620  0.9700  3.0919 -0.0452 -1.9430 -2.8260 -3.1675 -3.3555
 277  1.052874  3.6606  0.9399  3.1165 -0.0590 -1.9860 -2.8816 -3.2280 -3.4189
 278  1.052890  3.6593  0.9109  3.1401 -0.0706 -2.0265 -2.9346 -3.2857 -3.4795
