#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.500 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 133  0.842464  3.8511  4.1367  0.5845  4.3394  3.4720  3.3440  3.3535  3.4211
 134  0.843158  3.8511  4.1302  0.5917  4.3224  3.4533  3.3259  3.3357  3.4033
 135  0.843843  3.8512  4.1234  0.5990  4.3051  3.4347  3.3076  3.3174  3.3853
 136  0.844520  3.8511  4.1163  0.6062  4.2877  3.4159  3.2890  3.2990  3.3669
 137  0.845188  3.8510  4.1088  0.6137  4.2702  3.3972  3.2703  3.2802  3.3479
 138  0.845845  3.8509  4.1010  0.6211  4.2526  3.3784  3.2514  3.2612  3.3287
 139  0.846493  3.8507  4.0930  0.6286  4.2348  3.3596  3.2322  3.2419  3.3092
 140  0.847132  3.8504  4.0846  0.6361  4.2169  3.3408  3.2130  3.2223  3.2892
 141  0.847760  3.8500  4.0759  0.6438  4.1990  3.3219  3.1935  3.2025  3.2689
 142  0.848377  3.8496  4.0668  0.6514  4.1808  3.3031  3.1739  3.1823  3.2483
 143  0.848983  3.8491  4.0574  0.6592  4.1625  3.2843  3.1541  3.1619  3.2272
 144  0.849576  3.8485  4.0476  0.6670  4.1442  3.2655  3.1341  3.1411  3.2058
 145  0.850158  3.8479  4.0373  0.6749  4.1258  3.2467  3.1139  3.1200  3.1840
 146  0.850727  3.8471  4.0267  0.6827  4.1072  3.2280  3.0936  3.0986  3.1616
 147  0.851282  3.8462  4.0156  0.6907  4.0886  3.2095  3.0731  3.0769  3.1388
 148  0.851824  3.8453  4.0039  0.6987  4.0699  3.1910  3.0524  3.0549  3.1156
 149  0.852351  3.8442  3.9918  0.7068  4.0511  3.1727  3.0316  3.0324  3.0918
 150  0.852865  3.8430  3.9791  0.7148  4.0322  3.1546  3.0105  3.0096  3.0675
 151  0.853362  3.8416  3.9658  0.7230  4.0134  3.1368  2.9894  2.9863  3.0426
 152  0.853845  3.8401  3.9519  0.7312  3.9946  3.1192  2.9680  2.9628  3.0173
 153  0.854310  3.8385  3.9374  0.7394  3.9759  3.1019  2.9466  2.9390  2.9914
 154  0.854760  3.8367  3.9223  0.7475  3.9572  3.0849  2.9252  2.9147  2.9650
